threatTypes,tags,name,description,confidence,revoked,validFrom,validUntil,tlpLevel,severity,observableType,observableValue
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,98.252.254.171
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,221.167.104.115
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,46.153.136.134
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,121.166.20.186
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,143.202.78.200
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,73.119.9.144
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,124.152.181.105
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,83.233.188.15
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,37.53.82.111
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,111.70.19.149
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,111.70.13.246
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,222.128.28.48
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,211.220.122.137
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,111.39.109.29
